index	expected	HT	best	translated_min	self-guided_min	self-guided_detailed	feature-based_min	feature-based_detailed	expected	HT	best	translated_min	self-guided_min	self-guided_detailed	feature-based_min	feature-based_detailed
	de	de	de	de	de	de	de	de	en	en	en	en	en	en	en	en
addit	0.02	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.002	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$*	$\uparrow$
advcl	0.312	$\uparrow$	1	$\downarrow$*	$\uparrow$*	$\downarrow$*	$\downarrow$	$\downarrow$	0.552	$\uparrow$*	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
advmod	3.327	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	1.112	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$	$\downarrow$
caus	0.012	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.002	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$*	$\uparrow$*
fin	2.673	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	2.289	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
iobj	0.153	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$	$\downarrow$*	0.01	$\uparrow$	0	$\downarrow$*	$\uparrow$*	$\uparrow$*	$\downarrow$*	$\uparrow$*
mdd	3.512	$\uparrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	2.668	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
mean_sent_wc	29.222	$\downarrow$*	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	27.503	$\uparrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
mhd	3.552	$\uparrow$	1	$\uparrow$*	$\downarrow$*	$\downarrow$	$\downarrow$	$\downarrow$	3.857	$\downarrow$*	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
